patient_id,ho_ten,cccd,ngay_sinh,so_dien_thoai,email,dia_chi,benh,ket_qua_xet_nghiem,bac_si_phu_trach,ngay_kham
bdd640fb-0667-4ad1-9c80-317fa3b1799d,An Vũ,823004786863,18/07/1945,0800518449,lduong@example.net,"338 Quang Đặng xã JaneThành phố, 895667",Huyết áp cao,5.72,Quý cô Quý cô Dương Trần,21/01/2026
1a2a73ed-562b-4f79-8374-59eef50bea63,Chị Lan Trần,375243106903,25/07/1961,0992665918,duongjohn@example.com,"849 Bà An Mai phố JohnHuyện, 183667",Tiểu đường,5.65,Trọng Nguyễn,01/03/2026
5ec42e08-29a3-42e9-9d65-a441d58842de,Khoa Bùi,311907903067,29/10/1979,0763865577,jmai@example.org,"5 Bà An Nguyễn
JaneHuyện, 169403",Khỏe mạnh,7.94,Tùng Văn Dương,21/02/2026
24933b83-7577-40a9-a491-f0b2ea1fca65,Ngọc Trần,383028439599,29/09/1989,0908272318,ztran@example.com,"7 Hoàng Dương JaneXã, 166613",Khỏe mạnh,6.62,Quý ông Nhiên Đặng,02/02/2026
02f06b90-f143-462f-9c5c-0eed8da0365b,Chị Vân Hoàng,534283644089,05/03/1990,0732225913,maijohn@example.org,"2 An Hoàng JohnXã, 916449",Tim mạch,4.37,Thành Thế Vũ,06/03/2026
e0f3eab0-5cec-4eb5-add9-68311ca35cfb,Vân Phạm,268705685662,10/12/1952,0851777392,janeduong@example.net,"Quận JaneXã
89 Châu Dương, 847581",Tiểu đường,7.51,Cô Nhật Hoàng,27/02/2026
3f76be1d-1efa-4197-b394-988f847fd9b4,Lâm Mai Hoàng,462873342708,22/04/1978,0803029922,janedang@example.com,"105 Bác Phúc Nguyễn
JohnXã, 238739",Tiểu đường,9.66,Nhiên Vũ,25/01/2026
5ab33edf-6e59-4ed3-a8b3-17fa18d0752b,Nam Lê,668826343517,07/07/1984,0909202428,xbui@example.com,"338 Châu Trần JaneQuận, 179046",Khỏe mạnh,9.58,Dương Dương,20/04/2026
c0e9ab30-ed26-42e9-97e0-11b7f8102383,Thành Đức Lê,518304699013,01/07/1970,0899041379,dangjohn@example.com,"74 Kim Dương JaneQuận, 161324",Tiểu đường,9.41,Cô Hải Vũ,08/01/2026
eb5cf467-80ba-4d64-ba0e-cfea958ca9ba,Bà Hương Trần,983735403317,05/07/1997,0872369292,maijane@example.com,"939 Khoa Nguyễn
JaneQuận, 802258",Tim mạch,7.14,Thảo Dương,18/01/2026
50f0fd0a-750c-4b75-8ccc-9bc2a53f8a28,Hà Phú Đặng,393638546785,14/09/1980,0984257991,john51@example.net,"354 Chị Khoa Vũ JohnQuận, 377312",Khỏe mạnh,10.57,Bảo Mai,21/01/2026
b7b56ea7-35eb-432d-9ad6-20ab48212ddb,Hưng Dương,445877175355,09/01/1971,0566210388,janevu@example.net,"427 Lâm Trần phố JohnXã, 137778",Tim mạch,8.11,Hạnh Vũ,17/01/2026
eededb07-e623-4689-9d59-cd2a4eea04e7,Kim Trần,609320489964,11/09/1950,0829127990,mle@example.net,"2 Khoa Hải Mai
JohnQuận, 872343",Tiểu đường,5.29,Bà Hạnh Vũ,21/01/2026
df465290-61ee-411a-9bac-27a7b386f7a4,Trọng Đặng,235369378547,06/08/1951,0981172980,vujane@example.net,"54 Nhật Mai Vũ
JaneThành phố, 220944",Tiểu đường,11.68,Yến Trần,07/05/2026
98b8e4cc-1bc0-44fc-89cb-394243f59a85,Cô Ngọc Phạm,772522872808,12/08/1979,0886508637,john81@example.net,"883 Hạnh Thị Hoàng
JanePhường, 989208",Tiểu đường,3.6,Chị Hải Dương,08/03/2026
6703b636-5380-4904-a88c-7015aab97e49,Vũ Phạm,010062312038,13/05/1949,0859916247,xmai@example.org,"43 Lâm Phạm
JaneThị xã, 808446",Tim mạch,3.99,Quý cô Phúc Đức Phạm,28/03/2026
a2086977-a9f2-4336-83f4-a9a948a639d0,Kim Vũ,750997700886,04/10/1951,0514986430,jane23@example.com,"1 Vũ Lê
JaneThị xã, 355836",Tim mạch,7.84,Anh Minh Nguyễn,29/01/2026
8498e113-b227-462c-b53d-4330cdda24ba,Bác Phúc Đặng,008484086211,03/05/2002,0398180635,opham@example.org,"98 Chị Vân Trần xã JaneHuyện, 888295",Tim mạch,3.57,Vũ Trí Hoàng,05/03/2026
13d5f2f7-709b-4d97-864c-04af3d3f3799,Trung Đức Trần,823398454615,17/11/1959,0851269448,johnvu@example.org,"3 Cô Kim Dương
JaneThị xã, 165290",Khỏe mạnh,9.77,Quý cô Quý cô Kim Bùi,04/05/2026
